# pseudogene  | codingGene |  PMID | Abstract


PTENP1 | ESR1 | PMID: 29021233 | PTENP1 upregulation decreases PTEN gene expression in the ER-positive MCF7 and T47D human breast carcinoma cells and accelerates MCF7 tumor growth in vivo. Of note, PTENP1 transduction significantly decreases ERα (ESR1) mRNA and protein levels in MCF7 xenografts with a concomitant increase in hsa-miR-26a, a miR known to target ESR1. In the ER-negative MDA-MB-231 and C3HBA breast cancer cells upregulation of PTENP1 increases PTEN gene expression with no influence on hsa-miR-26a, ESR1 or ERα expression.
HK2P1 | PGK1 | PMID: 28618048 | We revealed that decidual gene transcription profile was altered in severe PE and identified 293 key PE-related genes involved in 19 differentially regulated pathways relevant for the pathogenesis of PE, among which ENO2, PGK1, and HK2 involved in glycolysis/gluconeogenesis and HIF-1 signaling pathway which are all highly related with tumorigenesis and are significantly upregulated in cancer cells were severely inhibited in the decidua of PE. Moreover, we identified 22 core regulatory genes, including the newly identified pseudogenes BNIP3P1, HK2P1, and PGK1P1 that encode long non-coding RNA (lncRNA); interestingly, BNIP3/BNIP3P1, HK2/HK2P1, and PGK1/PGK1P1 appear in pairs in core genes. Subsequent analyses using quantitative PCR validated a portion of these results.

CKS1BP7 | IGF1R | PMID: 28439706 | 1007/s12253-017-0224-4. [Epub ahead of print] CKS1BP7, a Pseudogene of CKS1B, is Co-Amplified with IGF1R in Breast Cancers. Liu Y(1), Wang W(2), Li Y(3), Sun F(4), Lin J(4), Li L(5). Author information: (1)Department of Breast Surgery, Shandong Cancer Hospital Affiliated to Shandong University, Jinan, Shandong, 250117, People's Republic of China. (2)Department of Obstetrics and Gynecology, Shandong Provincial Western Hospital, Jinan, Shandong, 250022, People's Republic of China. (3)Department of Medical Oncology, Shandong Cancer Hospital and Institute Affiliated to Shandong University, Jinan, Shandong, 250117, People's Republic of China. (4)Department of Pathology, School of Medicine, Shandong University, 44#Wenhuaxi Road, Jinan, Shandong, 250012, People's Republic of China. (5)Department of Pathology, School of Medicine, Shandong University, 44#Wenhuaxi Road, Jinan, Shandong, 250012, People's Republic of China.

CKS1BP7 | IGF1R | PMID: 28439706 | 01). Within the same tumors, identical CNAs of CKS1BP7 and IGF1R were found in DCIS and invasive carcinoma. Moreover, amplification of both genes was more frequent in aneuploidy tumors and the tumors with high ki67, but wasn't associated with patients' outcome.

CKS1BP7 | IGF1R | PMID: 28439706 | Moreover, amplification of both genes was more frequent in aneuploidy tumors and the tumors with high ki67, but wasn't associated with patients' outcome. In summary, CKS1BP7 amplification is a frequent event in breast cancer and often co-occurs with amplified IGF1R, which provides evidence supporting the interactions between CKS1BP7 and IGF1R during mammary carcinogenesis. Our findings suggest that CKS1BP7 as well as IGF1R may serve as potential biomarkers for early detection and predict prognosis in breast cancer. DOI: 10.

CKS1BP7 | IGF1R | PMID: 28439706 | In summary, CKS1BP7 amplification is a frequent event in breast cancer and often co-occurs with amplified IGF1R, which provides evidence supporting the interactions between CKS1BP7 and IGF1R during mammary carcinogenesis. Our findings suggest that CKS1BP7 as well as IGF1R may serve as potential biomarkers for early detection and predict prognosis in breast cancer. DOI: 10.1007/s12253-017-0224-4 PMID: 28439706 126.

CYP4Z2P | CYP4Z1 | PMID: 28236635 | Epub 2017 Mar 16. The competing endogenous RNA network of CYP4Z1 and pseudogene CYP4Z2P exerts an anti-apoptotic function in breast cancer. Li C(1)(2), Zheng L(1)(2), Xin Y(1)(2), Tan Z(1)(2), Zhang Y(1)(2), Meng X(1)(2), Wang Z(3), Xi T(1)(2). Author information: (1)School of Life Science and Technology, China Pharmaceutical University, Nanjing, China. (2)Jiangsu Key Laboratory of Carcinogenesis and Intervention, China Pharmaceutical University, Nanjing, China. (3)College of Pharmacy, China Pharmaceutical University, Nanjing, China. The competing endogenous RNA network (ceRNET) is involved in tumorigenesis and has become a hot spot of research. The ceRNET between CYP4Z1 and the pseudogene CYP4Z2P promotes angiogenesis and mediates tamoxifen resistance in breast cancer. Nevertheless, the effects of this ceRNET on cell apoptosis and related mechanisms remain unclear.

PTENP1 | GC | PMID: 28212532 | However, whether a PTENP1~miRNA~PTEN ceRNA network exists and how it functions in gastric cancer (GC) remains elusive. In order to identify and characterize the PTENP1~miRNA~PTEN ceRNA network in GC, we first determined PTENP1 levels in clinical GC samples and found that PTENP1 and PTEN were concurrently downregulated in these samples. We further demonstrated that PTENP1 could act as a ceRNA to sponge miR-106b and miR-93 from targeting PTEN for downregulation using a novel ceRNA in vitro gradient assay.

PTENP1 | GC | PMID: 28212532 | However, whether a PTENP1~miRNA~PTEN ceRNA network exists and how it functions in gastric cancer (GC) remains elusive. In order to identify and characterize the PTENP1~miRNA~PTEN ceRNA network in GC, we first determined PTENP1 levels in clinical GC samples and found that PTENP1 and PTEN were concurrently downregulated in these samples. We further demonstrated that PTENP1 could act as a ceRNA to sponge miR-106b and miR-93 from targeting PTEN for downregulation using a novel ceRNA in vitro gradient assay.

PTENP1 | GC | PMID: 28212532 | We further demonstrated that PTENP1 could act as a ceRNA to sponge miR-106b and miR-93 from targeting PTEN for downregulation using a novel ceRNA in vitro gradient assay. Thus, we revealed a tumor suppressive role of PTENP1 as ceRNA in GC and pinpointed the specific miRNAs decoyed by PTENP1, highlighting the emerging roles of ceRNAs in the biological regulation of GC cells and their possible clinical significance. DOI: 10.18632/oncotarget.

TFAMP1 | PSMG3 | PMID: 27866770 | Both CpGs, in turn, were associated with decreased risk of asthma at 18years of age. Cg14472551 is located in an intron of KIAA1549L, whose protein binds to a B-cell commitment transcription factor; cg01669161 is located between an antisense regulator of the proteasome assembly chaperone PSMG3, and TFAMP1, a pseudogene. Increased methylation of cg01669161 was also associated with decreased serum IgE levels. CONCLUSION: DNA methylation changes following tetanus vaccination may offer a novel prospect to explain a differential occurrence of asthma in adolescence. Copyright Â© 2016 The Author(s).

NMRAL2P | NQO1 | PMID: 27860235 | This noncoding RNA was confirmed as a novel functional pseudogene for NmrA-like redox sensor 1, and was given the name NmrA-like redox sensor 2 pseudogene (NMRAL2P). Chromatin immunoprecipitation experiments corroborated the presence of Nrf2 interactions on the NMRAL2P genomic region, and interestingly, NMRAL2P also served as a coregulator of NQO1 in human colon cancer cells. Silencing of NMRAL2P via CRISPR/Cas9 genome-editing protected against SFN-mediated inhibition of cancer cell growth, colony formation, and migration. CONCLUSION: NMRAL2P is the first functional pseudogene to be identified both as a direct transcriptional target of Nrf2, and as a downstream regulator of Nrf2-dependent NQO1 induction.

NMRAL2P | NQO1 | PMID: 27860235 | CONCLUSION: NMRAL2P is the first functional pseudogene to be identified both as a direct transcriptional target of Nrf2, and as a downstream regulator of Nrf2-dependent NQO1 induction. Further studies are warranted on NMRAL2P-Nrf2 crosstalk and the associated mechanisms of gene regulation. © 2016 WILEY-VCH Verlag GmbH & Co. KGaA, Weinheim. DOI: 10.

MORF4 | TCEAL1 | PMID: 27506666 | 2, this gene is not included in our patient's microdeletion and is not dysregulated by a position effect. Because the microdeletion encompasses only three genes, GLRA4, MORF4L2 and TCEAL1, we investigated their expression levels in various tissues by RT-qPCR and found that all three genes were highly expressed in whole human brain, fetal brain, cerebellum and hippocampus. When we examined the transcript levels of GLRA4, MORF4L2 as well as TCEAL1 in DGDP084's family, however, only GLRA4 transcripts were reduced in the female patient compared to her healthy mother.

MORF4 | TCEAL1 | PMID: 27506666 | Because the microdeletion encompasses only three genes, GLRA4, MORF4L2 and TCEAL1, we investigated their expression levels in various tissues by RT-qPCR and found that all three genes were highly expressed in whole human brain, fetal brain, cerebellum and hippocampus. When we examined the transcript levels of GLRA4, MORF4L2 as well as TCEAL1 in DGDP084's family, however, only GLRA4 transcripts were reduced in the female patient compared to her healthy mother. This suggests that GLRA4 is the plausible candidate gene for cognitive impairment, behavioral problems and craniofacial anomalies observed in DGDP084. Importantly, glycine receptors mediate inhibitory synaptic transmission in the brain stem as well as the spinal cord, and are known to be involved in syndromic intellectual disability. CONCLUSION: We hypothesize that GLRA4 is involved in intellectual disability, behavioral problems and craniofacial anomalies as the second gene identified for X-linked syndromic intellectual disability at Xq22.

MORF4 | GLRA4 | PMID: 27506666 | Because the microdeletion encompasses only three genes, GLRA4, MORF4L2 and TCEAL1, we investigated their expression levels in various tissues by RT-qPCR and found that all three genes were highly expressed in whole human brain, fetal brain, cerebellum and hippocampus. When we examined the transcript levels of GLRA4, MORF4L2 as well as TCEAL1 in DGDP084's family, however, only GLRA4 transcripts were reduced in the female patient compared to her healthy mother. This suggests that GLRA4 is the plausible candidate gene for cognitive impairment, behavioral problems and craniofacial anomalies observed in DGDP084. Importantly, glycine receptors mediate inhibitory synaptic transmission in the brain stem as well as the spinal cord, and are known to be involved in syndromic intellectual disability. CONCLUSION: We hypothesize that GLRA4 is involved in intellectual disability, behavioral problems and craniofacial anomalies as the second gene identified for X-linked syndromic intellectual disability at Xq22.

KIR2DP1 | KIR3DL1 | PMID: 27343992 | All individuals were typed positive for the three framework loci KIR3DL3, 2DL4 and 3DL2, as well as for pseudogene KIR3DP1. The gene frequencies of the other KIR genes ranged from 9% in KIR2DS2 to 98% in KIR2DP1 and KIR3DL1. The present study of the KIR genes may be a powerful tool for enriching the Chinese ethnical gene information resources of the KIR gene pool, as well as for the anthropological research. Copyright © 2016 American Society for Histocompatibility and Immunogenetics. Published by Elsevier Inc.

PPIEL | ZNF461 | PMID: 27067812 | A total of 182 and 539 differentially expressed lncRNAs and mRNA (109 up- and 73 down-regulated lncRNAs; 307 up- and 232 down-regulated mRNA) were respectively identified. Among them, 4 up-regulated lncRNAs, like lnc-geranylgeranyl diphosphate synthase 1 (GGPS1), lnc-zinc finger protein 793 (ZNF793) and lnc-serine/threonine kinase 4 (STK4), and 4 down-regulated lncRNAs including lnc-LOC284440 and lnc-peptidylprolyl isomerase E-like pseudogene (PPIEL), and lnc-zinc finger protein 461 (ZNF461) were predicted related to NSCLC. lncSSPS1, lnc-ZNF793 and lnc-STK4 were co-expressed with linker for activation of T cells (LAT) and Lck interacting transmembrane adaptor 1 (LIME1).

PPIEL | LIME1 | PMID: 27067812 | lncSSPS1, lnc-ZNF793 and lnc-STK4 were co-expressed with linker for activation of T cells (LAT) and Lck interacting transmembrane adaptor 1 (LIME1). Lnc-LOC284440, lnc-PPIEL and lnc-ZNF461 were co-expressed with Src-like-adaptor 2 (SLA2) and defensin beta 4A (DEFB4A). Our study indicates that immune response may be a crucial mechanism involved in NSCLC progression. Lnc-GGPS1, lnc-ZNF793, lnc-STK4, lnc-LOC284440, lnc-PPIEL, and lnc-ZNF461 may be involved in immune response for promoting NSCLC progression via co-expressing with LAT, LIME1, SLA2 and DEFB4A. Copyright © 2016 Elsevier GmbH.

CYP4Z2P | CYP4Z1 | PMID: 26980484 | Epub 2016 Mar 12. Competing endogenous RNA networks of CYP4Z1 and pseudogene CYP4Z2P confer tamoxifen resistance in breast cancer. Zheng L(1), Li X(2), Meng X(1), Chou J(1), Hu J(1), Zhang F(1), Zhang Z(1), Xing Y(1), Liu Y(3), Xi T(4). Author information: (1)School of Life Science and Technology, China Pharmaceutical University, Nanjing 210009, PR China; Jiangsu Key Laboratory of Carcinogenesis and Intervention, China Pharmaceutical University, Nanjing 210009, PR China. (2)Jiangsu Key Laboratory for Pharmacology and Safety Evaluation of Chinese Materia Medica, School of Pharmacy, Nanjing University of Chinese Medicine, Nanjing 210023, PR China. (3)Department of Biochemistry, School of Life Science and Technology, China Pharmaceutical University, Nanjing 210009, PR China. (4)School of Life Science and Technology, China Pharmaceutical University, Nanjing 210009, PR China; Jiangsu Key Laboratory of Carcinogenesis and Intervention, China Pharmaceutical University, Nanjing 210009, PR China. Electronic address: xitao18@hotmail.com. Patients with estrogen receptor α (ERα)-positive breast cancer can be treated with endocrine therapy using anti-estrogens such as tamoxifen; nonetheless, patients often develop resistance limiting the success of breast cancer treatment.

CYP4Z2P | CYP4Z1 | PMID: 26980484 | In detail, many miRNAs have been associated with breast cancer tamoxifen resistance, but no studies have addressed the role of miRNA-mediated competitive endogenous RNAs network (ceRNET) in tamoxifen resistance. The ceRNET between CYP4Z1 and pseudogene CYP4Z2P has been revealed to promote breast cancer angiogenesis. However, its function in tamoxifen resistance remains unclear.

CYP4Z2P | CYP4Z1 | PMID: 26980484 | However, its function in tamoxifen resistance remains unclear. Here we report CYP4Z1 and CYP4Z2P were downregulated in MCF-7 cells compared with tamoxifen-resistant MCF-7-TamR cells. Enforced upregulation of CYP4Z1- or CYP4Z2P-3'UTR level renders MCF-7 Cells resistant to tamoxifen. We find that overexpression of CYP4Z1- or CYP4Z2P-3'UTR enhances the transcriptional activity of ERα through the activation of ERα phosphorylation.

CYP4Z2P | CYP4Z1 | PMID: 26980484 | Here we report CYP4Z1 and CYP4Z2P were downregulated in MCF-7 cells compared with tamoxifen-resistant MCF-7-TamR cells. Enforced upregulation of CYP4Z1- or CYP4Z2P-3'UTR level renders MCF-7 Cells resistant to tamoxifen. We find that overexpression of CYP4Z1- or CYP4Z2P-3'UTR enhances the transcriptional activity of ERα through the activation of ERα phosphorylation.

CYP4Z2P | CYP4Z1 | PMID: 26980484 | Enforced upregulation of CYP4Z1- or CYP4Z2P-3'UTR level renders MCF-7 Cells resistant to tamoxifen. We find that overexpression of CYP4Z1- or CYP4Z2P-3'UTR enhances the transcriptional activity of ERα through the activation of ERα phosphorylation. Furthermore, we find that CYP4Z1- and CYP4Z2P-3'UTRs increase ERα activity dependent on cyclin-dependent kinase 3 (CDK3).

CYP4Z2P | CYP4Z1 | PMID: 26980484 | We find that overexpression of CYP4Z1- or CYP4Z2P-3'UTR enhances the transcriptional activity of ERα through the activation of ERα phosphorylation. Furthermore, we find that CYP4Z1- and CYP4Z2P-3'UTRs increase ERα activity dependent on cyclin-dependent kinase 3 (CDK3). Reporter gene and western blot assays revealed that CYP4Z1- and CYP4Z2P-3'UTRs act as CDK3 ceRNAs. More importantly, the blocking of CYP4Z1- and CYP4Z2P-3'UTRs reversed tamoxifen resistance in MCF-7-TamR cells.

CYP4Z2P | CYP4Z1 | PMID: 26980484 | Furthermore, we find that CYP4Z1- and CYP4Z2P-3'UTRs increase ERα activity dependent on cyclin-dependent kinase 3 (CDK3). Reporter gene and western blot assays revealed that CYP4Z1- and CYP4Z2P-3'UTRs act as CDK3 ceRNAs. More importantly, the blocking of CYP4Z1- and CYP4Z2P-3'UTRs reversed tamoxifen resistance in MCF-7-TamR cells.

CYP4Z2P | CDK3 | PMID: 26980484 | Furthermore, we find that CYP4Z1- and CYP4Z2P-3'UTRs increase ERα activity dependent on cyclin-dependent kinase 3 (CDK3). Reporter gene and western blot assays revealed that CYP4Z1- and CYP4Z2P-3'UTRs act as CDK3 ceRNAs. More importantly, the blocking of CYP4Z1- and CYP4Z2P-3'UTRs reversed tamoxifen resistance in MCF-7-TamR cells.

CYP4Z2P | CYP4Z1 | PMID: 26980484 | Reporter gene and western blot assays revealed that CYP4Z1- and CYP4Z2P-3'UTRs act as CDK3 ceRNAs. More importantly, the blocking of CYP4Z1- and CYP4Z2P-3'UTRs reversed tamoxifen resistance in MCF-7-TamR cells. Our data demonstrates that the ceRNET between CYP4Z1 and pseudogene CYP4Z2P acts as a sub-ceRNET to promote CDK3 expression in ER-positive breast cancer and is a potential therapeutic target for treatment of tamoxifen-resistant breast cancer. Copyright © 2016 Elsevier Ireland Ltd.

CYP4Z2P | CYP4Z1 | PMID: 26980484 | More importantly, the blocking of CYP4Z1- and CYP4Z2P-3'UTRs reversed tamoxifen resistance in MCF-7-TamR cells. Our data demonstrates that the ceRNET between CYP4Z1 and pseudogene CYP4Z2P acts as a sub-ceRNET to promote CDK3 expression in ER-positive breast cancer and is a potential therapeutic target for treatment of tamoxifen-resistant breast cancer. Copyright © 2016 Elsevier Ireland Ltd. All rights reserved. DOI: 10.

CYP4Z2P | CDK3 | PMID: 26980484 | More importantly, the blocking of CYP4Z1- and CYP4Z2P-3'UTRs reversed tamoxifen resistance in MCF-7-TamR cells. Our data demonstrates that the ceRNET between CYP4Z1 and pseudogene CYP4Z2P acts as a sub-ceRNET to promote CDK3 expression in ER-positive breast cancer and is a potential therapeutic target for treatment of tamoxifen-resistant breast cancer. Copyright © 2016 Elsevier Ireland Ltd. All rights reserved. DOI: 10.

CYP2D7 | CYP2D6 | PMID: 26793106 | eCollection 2015. CYP2D7 Sequence Variation Interferes with TaqMan CYP2D6 (*) 15 and (*) 35 Genotyping. Riffel AK(1), Dehghani M(2), Hartshorne T(3), Floyd KC(4), Leeder JS(5), Rosenblatt KP(2), Gaedigk A(5). Author information: (1)Division of Clinical Pharmacology, Toxicology and Therapeutic Innovation, Children's Mercy Kansas City Kansas City, MO, USA. (2)CompanionDx® Reference LabHouston, TX, USA; Division of Oncology, Department of Internal Medicine, University of Texas Health Science Center at HoustonHouston, TX, USA. (3)Genetic Analysis, Genetic Sciences Division, Thermo Fisher Scientific South San Francisco, CA, USA. (4)CompanionDx® Reference Lab Houston, TX, USA. (5)Division of Clinical Pharmacology, Toxicology and Therapeutic Innovation, Children's Mercy Kansas CityKansas City, MO, USA; School of Medicine, University of Missouri-Kansas CityKansas City, MO, USA. TaqMan�?genotyping assays are widely used to genotype CYP2D6, which encodes a major drug metabolizing enzyme. Assay design for CYP2D6 can be challenging owing to the presence of two pseudogenes, CYP2D7 and CYP2D8, structural and copy number variation and numerous single nucleotide polymorphisms (SNPs) some of which reflect the wild-type sequence of the CYP2D7 pseudogene.

CYP2D7 | CYP2D6 | PMID: 26793106 | However, only 15 samples were confirmed when tested with the Luminex xTAG CYP2D6 Kit and sequencing of CYP2D6-specific long range (XL)-PCR products. Genotype and gene resequencing of CYP2D6 and CYP2D7-specific XL-PCR products revealed a CC>GT dinucleotide SNP in exon 1 of CYP2D7 that reverts the sequence to CYP2D6 and allows a TaqMan assay PCR primer to bind. Because CYP2D7 also carries a Tins, a false-positive mutation signal is generated.

CYP2D7 | CYP2D6 | PMID: 26793106 | Genotype and gene resequencing of CYP2D6 and CYP2D7-specific XL-PCR products revealed a CC>GT dinucleotide SNP in exon 1 of CYP2D7 that reverts the sequence to CYP2D6 and allows a TaqMan assay PCR primer to bind. Because CYP2D7 also carries a Tins, a false-positive mutation signal is generated. This CYP2D7 SNP was also responsible for generating false-positive signals for rs769258 (CYP2D6 (*) 35) which is also located in exon 1.

CYP2D7 | CYP2D6 | PMID: 26793106 | population sample. In addition, we also discovered linkage between the CYP2D7 CC>GT dinucleotide SNP and the 77G>A (rs28371696) SNP of CYP2D6 (*) 43. The frequency of this tentatively functional allele was 0.

SLC6A10P | COL2A1 | PMID: 26311224 | Epub 2015 Sep 10. Expression profile of COL2A1 and the pseudogene SLC6A10P predicts tumor recurrence in high-grade serous ovarian cancer. Ganapathi MK(1), Jones WD(2), Sehouli J(3), Michener CM(4), Braicu IE(3), Norris EJ(1), Biscotti CV(5), Vaziri SA(6), Ganapathi RN(1). Author information: (1)Department of Cancer Pharmacology, Levine Cancer Institute, Carolinas HealthCare System, Charlotte, NC. (2)Genomics and Bioinformatics Group, Expression Analysis-Quintiles, Durham, NC. (3)Department of Gynecology, Charité Medical University of Berlin, Berlin, Germany. (4)Women's Health and Obstetrics/Gynecology Institute, Cleveland Clinic, Cleveland, OH. (5)Department of Anatomic Pathology, Cleveland Clinic, Cleveland, OH. (6)Taussig Cancer Institute, Cleveland Clinic, Cleveland, OH. Tumor recurrence, following initial response to adjuvant chemotherapy, is a major problem in women with high-grade serous ovarian cancer (HGSOC). Microarray analysis of primary tumors has identified genes that may be useful in risk stratification/overall survival, but are of limited value in predicting the >70% rate for tumor recurrence.

SLC6A10P | HR | PMID: 26311224 | 027). Notably, TTR was significantly delayed for tumors that simultaneously highly expressed COL2A1 and lowly expressed SLC6A10P (HR = 0.21, 95% CI: 0.082-0.54, p = 0.0011), an

SLC6A10P | COL2A1 | PMID: 26311224 | 54, p = 0.0011), an estimated median of 95 months as compared to an estimated median of 16 months for subjects expressing other levels of COL2A1 and SLC6A10P. Thus, evaluating expression levels of COL2A1 and SLC6A10P at primary surgery could be beneficial for clinically managing recurrence of HGSOC. © 2015 UICC. DOI: 10.

SLC6A10P | COL2A1 | PMID: 26311224 | 0011), an estimated median of 95 months as compared to an estimated median of 16 months for subjects expressing other levels of COL2A1 and SLC6A10P. Thus, evaluating expression levels of COL2A1 and SLC6A10P at primary surgery could be beneficial for clinically managing recurrence of HGSOC. © 2015 UICC. DOI: 10.1002/ijc.

FER1L4 | PTEN | PMID: 26306906 | We observed that FER1L4 was downregulated in gastric cancer and that its level corresponded with that of PTEN mRNA. Both FER1L4 and PTEN mRNA were targets of miR-106a-5p. Further experiments demonstrated that FER1L4 downregulation liberates miR-106a-5p and decreases the abundances of PTEN mRNA and protein.

PPP1R26P1 | RB1 | PMID: 26275142 | Author information: (1)Institute of Human Genetics, University Hospital Essen, University of Duisburg-Essen, Essen, Germany. The human RB1 gene is imprinted due to integration of the PPP1R26P1 pseudogene into intron 2. PPP1R26P1 harbors the gametic differentially methylated region of the RB1 gene, CpG85, which is methylated in the female germ line.

PPP1R26P1 | RB1 | PMID: 26275142 | The paternally unmethylated CpG85 acts as promoter for the alternative transcript 2B of RB1, which interferes with expression of full-length RB1 in cis. In mice, PPP1R26P1 is not present in the Rb1 gene and Rb1 is not imprinted. Assuming that the mechanisms responsible for genomic imprinting are conserved, we investigated if imprinting of mouse Rb1 can be induced by transferring human PPP1R26P1 into mouse Rb1.

TNXA | TNXB | PMID: 26075496 | ), National Institutes of Health, Baltimore, Maryland 21224. CONTEXT: The contiguous gene deletion syndrome (CAH-X) was described in a subset (7%) of congenital adrenal hyperplasia (CAH) patients with a TNXA/TNXB chimera, resulting in deletions of CYP21A2, encoding 21-hydroxylase necessary for cortisol biosynthesis, and TNXB, encoding the extracellular matrix glycoprotein tenascin-X (TNX). This TNXA/TNXB chimera is characterized by a 120-bp deletion in exon 35 and results in TNXB haploinsufficiency, disrupted TGF-β signaling, and an Ehlers Danlos syndrome phenotype. OBJECTIVE: The objective of the study was to determine the genetic status of TNXB and resulting protein defects in CAH patients with a CAH-X phenotype but not the previously described TNXA/TNXB chimera.

